#SNname    zcmb    sBV    +/-   dm15   +/-   M(H)    +/-     M(J)    +/-     M(Y)    +/-     M(i)    +/-     M(V)    +/-     M(B)    +/-    
SN2008fu   0.05183  0.820 0.022  1.411 0.045 -18.384  0.089 -18.711  0.128 -18.530  0.082 -18.366  0.081 -19.039  0.068 -19.138  0.088
SN2008fw   0.00951  1.112 0.023  0.844 0.036 -18.295  0.230 -18.382  0.233 -18.362  0.229 -18.430  0.236 -19.257  0.232 -19.309  0.235
SN2008gg   0.03107  1.113 0.026  0.844 0.043 -18.194  0.088 -18.622  0.114 -18.331  0.093 -18.444  0.096 -19.327  0.084 -19.364  0.090
SN2008gl   0.03295  0.851 0.004  1.272 0.030 -18.274  0.087 -18.532  0.071 -18.233  0.069 -18.358  0.068 -19.060  0.069 -19.115  0.069
SN2008go   0.06131  0.911 0.023  1.227 0.030  99.990  9.990  99.990  9.990 -18.459  0.064 -18.374  0.043 -19.168  0.044 -19.242  0.044
SN2008gp   0.03282  0.973 0.005  1.002 0.030 -18.235  0.091 -18.575  0.072 -18.492  0.069 -18.520  0.068 -19.280  0.068 -19.314  0.069
SN2008hj   0.03672  1.011 0.008  0.910 0.014 -18.250  0.104 -18.390  0.074 -18.246  0.064 -18.379  0.061 -19.185  0.061 -19.254  0.061
SN2008hu   0.05053  0.783 0.008  1.443 0.017 -18.362  0.123 -18.363  0.064 -18.334  0.055 -18.250  0.048 -18.917  0.049 -18.947  0.052
SN2008hv   0.01358  0.846 0.003  1.270 0.048 -18.237  0.161 -18.455  0.160 -18.349  0.160 -18.318  0.160 -19.006  0.160 -19.061  0.161
SN2008ia   0.02254  0.842 0.004  1.241 0.037 -18.558  0.100 -18.594  0.100 -18.504  0.098 -18.422  0.099 -19.130  0.100 -19.234  0.101
SN2009D    0.02465  1.185 0.006  0.984 0.020 -18.422  0.090 -18.759  0.092 -18.536  0.090 -18.700  0.090 -19.480  0.091 -19.565  0.091
SN2009F    0.01291  0.343 0.008  1.904 0.008 -17.711  0.174 -17.682  0.172 -17.718  0.172 -17.434  0.173 -17.700  0.174 -17.392  0.175
SN2009I    0.02543  1.064 0.019  0.802 0.024 -18.497  0.095 -18.845  0.088 -18.724  0.088 -18.730  0.089 -19.529  0.089 -19.611  0.089
